BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2023-03-10,Куйбазот-п,KAZTP,254.0,3008086.0,558.2,550.4,562.0,556.6,556.2,556.6,5410.0,556.0,556.0,,3008086.0,3008086.0,,0.0,3
SMAL,2023-03-10,ТНСэКубань,KBSB,1.0,201.0,201.0,201.0,201.0,,200.0,201.0,1.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ТНСэКубань,KBSB,19.0,119860.0,199.0,198.5,200.5,200.5,200.0,200.5,600.0,,200.5,,0.0,545630.0,,0.0,3
TQBR,2023-03-10,КамчатЭ ао,KCHE,15.0,77770.0,0.2065,0.2035,0.208,0.2055,0.2045,0.2065,380000.0,,0.2055,,0.0,507555.0,,0.0,3
TQBR,2023-03-10,КамчатЭ ап,KCHEP,9.0,85130.0,0.353,0.353,0.358,0.354,0.355,0.354,240000.0,,0.355,,0.0,500660.0,,0.0,3
TQBR,2023-03-10,КурганГКао,KGKC,65.0,171320.0,41.4,40.8,41.6,41.2,41.2,41.2,4150.0,,41.0,,0.0,505028.0,,0.0,3
TQBR,2023-03-10,КурганГКап,KGKCP,111.0,260712.0,42.8,41.4,44.0,42.2,42.4,42.2,6160.0,,42.6,,0.0,500074.0,,0.0,3
TQBR,2023-03-10,КалужскСК,KLSB,7033.0,99013229.0,18.14,17.42,18.99,17.76,18.21,17.76,5436100.0,18.21,18.21,,99013229.0,99013229.0,,0.0,3
SMAL,2023-03-10,КАМАЗ,KMAZ,3.0,918.3,141.9,105.7,142.2,,109.2,105.7,8.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,КАМАЗ,KMAZ,2201.0,37115660.0,109.4,108.8,109.9,109.0,109.2,109.0,339790.0,109.2,109.2,,37115660.0,37115660.0,,0.0,3
TQBR,2023-03-10,КМЗ,KMEZ,124.0,496644.0,1242.0,1227.0,1248.0,1231.0,1235.0,1231.0,402.0,,1235.0,,0.0,500364.0,,0.0,3
TQBR,2023-03-10,КосогМЗ ао,KMTZ,281.0,2898840.0,223.0,219.5,230.0,226.5,225.5,226.5,12850.0,225.5,225.5,,2898840.0,2898840.0,,0.0,3
TQBR,2023-03-10,КоршГОК ао,KOGK,4.0,165000.0,41000.0,41000.0,41400.0,41200.0,41200.0,41200.0,4.0,40200.0,41200.0,,5518400.0,534600.0,,0.0,3
TQBR,2023-03-10,СаратНПЗ,KRKN,27.0,412800.0,10500.0,10500.0,10650.0,10600.0,10600.0,10600.0,39.0,,10550.0,,0.0,507400.0,,0.0,3
TQBR,2023-03-10,СаратНПЗ-п,KRKNP,911.0,25305220.0,12900.0,12840.0,13160.0,12880.0,13000.0,12880.0,1947.0,13000.0,13000.0,,25305220.0,25305220.0,,0.0,3
TQBR,2023-03-10,ТКЗКК ап,KRKOP,88.0,677888.0,13.5,13.5,13.62,13.59,13.56,13.62,50000.0,13.56,13.56,,677888.0,677888.0,,0.0,3
